date,Average prices across India,value
04-01-2001,Minimum price,146.4
04-01-2001,Modal price,247.6
05-01-2001,Maximum Price,264.3
05-01-2001,Minimum price,108.3
05-01-2001,Modal price,216.7
06-01-2001,Maximum Price,333.5
06-01-2001,Minimum price,157.7
06-01-2001,Modal price,284.9
07-01-2001,Maximum Price,384.7
07-01-2001,Minimum price,215.1
07-01-2001,Modal price,333.7
08-01-2001,Maximum Price,578.8
08-01-2001,Minimum price,301
08-01-2001,Modal price,498.3
09-01-2001,Maximum Price,554.6363636
09-01-2001,Minimum price,248.4545455
09-01-2001,Modal price,465.3636364
10-01-2001,Maximum Price,607.6363636
10-01-2001,Minimum price,233.6363636
10-01-2001,Modal price,511.2727273
11-01-2001,Maximum Price,860.9090909
11-01-2001,Minimum price,318.4545455
11-01-2001,Modal price,699.3636364
12-01-2001,Maximum Price,489.3076923
12-01-2001,Minimum price,226.4615385
12-01-2001,Modal price,403.3076923
01-01-2002,Maximum Price,389.5217391
01-01-2002,Minimum price,125.2173913
01-01-2002,Modal price,281.3913043
02-01-2002,Maximum Price,318.0952381
02-01-2002,Minimum price,118.5714286
02-01-2002,Modal price,237.1428571
03-01-2002,Maximum Price,266.9
03-01-2002,Minimum price,114.15
03-01-2002,Modal price,208.4
04-01-2002,Maximum Price,263.1363636
04-01-2002,Minimum price,107.2272727
04-01-2002,Modal price,205.1818182
05-01-2002,Maximum Price,272.3333333
05-01-2002,Minimum price,103.1428571
05-01-2002,Modal price,208.2857143
06-01-2002,Maximum Price,371.7727273
06-01-2002,Minimum price,150.1818182
06-01-2002,Modal price,299.1363636
07-01-2002,Maximum Price,441.1363636
07-01-2002,Minimum price,173.1818182
07-01-2002,Modal price,356.0454545
08-01-2002,Maximum Price,573.8636364
08-01-2002,Minimum price,224.2272727
08-01-2002,Modal price,450
09-01-2002,Maximum Price,603.6363636
09-01-2002,Minimum price,236.0454545
09-01-2002,Modal price,463.5454545
10-01-2002,Maximum Price,725.8181818
10-01-2002,Minimum price,284.7272727
10-01-2002,Modal price,558.4090909
11-01-2002,Maximum Price,599.4
11-01-2002,Minimum price,240.6
11-01-2002,Modal price,463.7
12-01-2002,Maximum Price,434.7894737
12-01-2002,Minimum price,179.2105263
12-01-2002,Modal price,314.7894737
01-01-2003,Maximum Price,342.1818182
01-01-2003,Minimum price,133.4545455
01-01-2003,Modal price,231.6818182
02-01-2003,Maximum Price,298.4347826
02-01-2003,Minimum price,108.7391304
02-01-2003,Modal price,192.6956522
03-01-2003,Maximum Price,322.4090909
03-01-2003,Minimum price,145.6818182
03-01-2003,Modal price,245
04-01-2003,Maximum Price,402.8695652
04-01-2003,Minimum price,197.3478261
04-01-2003,Modal price,323.5652174
05-01-2003,Maximum Price,436.5
05-01-2003,Minimum price,201.0833333
05-01-2003,Modal price,344.8333333
06-01-2003,Maximum Price,544.88
06-01-2003,Minimum price,252.24
06-01-2003,Modal price,431.44
07-01-2003,Maximum Price,574.0416667
07-01-2003,Minimum price,283.5
07-01-2003,Modal price,461.4583333
08-01-2003,Maximum Price,628.44
08-01-2003,Minimum price,286.84
08-01-2003,Modal price,478.4
09-01-2003,Maximum Price,670.5
09-01-2003,Minimum price,287.0769231
09-01-2003,Modal price,517.6923077
10-01-2003,Maximum Price,889.9583333
10-01-2003,Minimum price,380.2916667
10-01-2003,Modal price,695.7916667
11-01-2003,Maximum Price,724.56
11-01-2003,Minimum price,287.6
11-01-2003,Modal price,544.84
12-01-2003,Maximum Price,782.2222222
12-01-2003,Minimum price,325.2592593
12-01-2003,Modal price,615.8148148
01-01-2004,Maximum Price,922.8444444
01-01-2004,Minimum price,533.5555556
01-01-2004,Modal price,775.2
02-01-2004,Maximum Price,829.0714286
02-01-2004,Minimum price,516.9285714
02-01-2004,Modal price,718.5238095
03-01-2004,Maximum Price,541.0697674
03-01-2004,Minimum price,330.372093
03-01-2004,Modal price,460
04-01-2004,Maximum Price,416.0454545
04-01-2004,Minimum price,248.0227273
