state,date,Modal price (Average)
ASM,10-01-15,4525
ASM,11-01-15,3023
ASM,12-01-15,2089
ASM,01-01-16,1713
ASM,02-01-16,1381
ASM,03-01-16,1244
BHR,01-01-04,1092
BHR,02-01-04,1054
BHR,03-01-04,787
BHR,04-01-04,538
BHR,05-01-04,457
BHR,06-01-04,463
BHR,07-01-04,531
BHR,08-01-04,533
BHR,09-01-04,667
BHR,10-01-04,683
BHR,11-01-04,673
BHR,12-01-04,603
BHR,01-01-05,453
BHR,02-01-05,438
BHR,04-01-05,393
BHR,05-01-05,465
BHR,06-01-05,375
BHR,07-01-05,392
BHR,08-01-05,511
BHR,09-01-05,1103
BHR,10-01-05,1300
BHR,11-01-05,1229
BHR,12-01-05,923
BHR,01-01-06,545
BHR,02-01-06,393
BHR,03-01-06,351
BHR,04-01-06,356
BHR,05-01-06,302
BHR,06-01-06,396
BHR,07-01-06,460
BHR,08-01-06,536
BHR,09-01-06,566
BHR,11-01-06,662
BHR,12-01-06,873
BHR,01-01-07,1107
BHR,02-01-07,1317
BHR,03-01-07,941
BHR,04-01-07,734
BHR,05-01-07,527
BHR,06-01-07,892
BHR,07-01-07,1061
BHR,08-01-07,1355
BHR,09-01-07,1577
BHR,10-01-07,1769
BHR,11-01-07,1120
BHR,12-01-07,727
BHR,01-01-08,473
BHR,02-01-08,419
BHR,03-01-08,495
BHR,04-01-08,519
BHR,05-01-08,429
BHR,06-01-08,530
BHR,07-01-08,771
BHR,08-01-08,965
BHR,09-01-08,929
BHR,10-01-08,779
BHR,11-01-08,1225
BHR,12-01-08,1370
BHR,01-01-09,1548
BHR,02-01-09,1384
BHR,03-01-09,1053
BHR,04-01-09,832
BHR,05-01-09,676
BHR,06-01-09,794
BHR,07-01-09,911
BHR,08-01-09,844
BHR,09-01-09,905
BHR,10-01-09,1700
BHR,11-01-09,1850
BHR,12-01-09,1658
BHR,01-01-10,1608
BHR,02-01-10,1404
BHR,03-01-10,746
BHR,04-01-10,724
BHR,05-01-10,581
BHR,06-01-10,699
BHR,07-01-10,845
BHR,08-01-10,932
BHR,09-01-10,1416
BHR,10-01-10,1610
BHR,11-01-10,2090
BHR,12-01-10,2645
BHR,01-01-11,2880
BHR,02-01-11,1308
BHR,03-01-11,720
BHR,04-01-11,633
BHR,05-01-11,638
BHR,06-01-11,575
BHR,07-01-11,881
BHR,08-01-11,1190
BHR,09-01-11,1219
BHR,10-01-11,1354
BHR,11-01-11,1330
BHR,12-01-11,1100
BHR,05-01-12,613
BHR,07-01-12,800
BHR,08-01-12,850
BHR,09-01-12,733
BHR,10-01-12,1125
BHR,11-01-12,1467
BHR,12-01-12,1488
BHR,02-01-13,1650
BHR,03-01-13,1300
BHR,04-01-13,1191
BHR,05-01-13,1060
BHR,06-01-13,1303
BHR,07-01-13,2230
BHR,08-01-13,3929
BHR,09-01-13,5100
BHR,10-01-13,5339
BHR,11-01-13,4194
BHR,12-01-13,1942
BHR,01-01-14,1408
BHR,02-01-14,1141
BHR,03-01-14,1149
BHR,04-01-14,1193
BHR,05-01-14,1325
BHR,06-01-14,1585
BHR,07-01-14,2194
BHR,08-01-14,2014
BHR,09-01-14,1878
BHR,10-01-14,1728
BHR,11-01-14,1921
BHR,12-01-14,2041
BHR,01-01-15,1657
BHR,02-01-15,1928
BHR,03-01-15,1488
BHR,04-01-15,1552
BHR,05-01-15,1473
BHR,06-01-15,1716
BHR,07-01-15,2367
BHR,08-01-15,3850
BHR,09-01-15,4625
BHR,10-01-15,3210.5
BHR,11-01-15,2433
