date,year,month,Average prices across India,value
08-01-2011,2011,Aug,Maximum Price,1242.083333
08-01-2011,2011,Aug,Minimum price,670.5
08-01-2011,2011,Aug,Modal price,1036.2
09-01-2011,2011,Sep,Maximum Price,1302.733333
09-01-2011,2011,Sep,Minimum price,703.7
09-01-2011,2011,Sep,Modal price,1081.266667
10-01-2011,2011,Oct,Maximum Price,1175
10-01-2011,2011,Oct,Minimum price,618.3214286
10-01-2011,2011,Oct,Modal price,967.1964286
11-01-2011,2011,Nov,Maximum Price,1122.982759
11-01-2011,2011,Nov,Minimum price,559.6206897
11-01-2011,2011,Nov,Modal price,879.7068966
12-01-2011,2011,Dec,Maximum Price,834.2539683
12-01-2011,2011,Dec,Minimum price,428.1111111
12-01-2011,2011,Dec,Modal price,662.6984127
01-01-2012,2012,Jan,Maximum Price,604.2903226
01-01-2012,2012,Jan,Minimum price,312.983871
01-01-2012,2012,Jan,Modal price,481.3225806
02-01-2012,2012,Feb,Maximum Price,546.0847458
02-01-2012,2012,Feb,Minimum price,309.6440678
02-01-2012,2012,Feb,Modal price,448.2881356
03-01-2012,2012,Mar,Maximum Price,568.9824561
03-01-2012,2012,Mar,Minimum price,328
03-01-2012,2012,Mar,Modal price,469.0701754
04-01-2012,2012,Apr,Maximum Price,600.1666667
04-01-2012,2012,Apr,Minimum price,345.2333333
04-01-2012,2012,Apr,Modal price,500.65
05-01-2012,2012,May,Maximum Price,583.6779661
05-01-2012,2012,May,Minimum price,316.7118644
05-01-2012,2012,May,Modal price,468.9152542
06-01-2012,2012,Jun,Maximum Price,654.6896552
06-01-2012,2012,Jun,Minimum price,345.0172414
06-01-2012,2012,Jun,Modal price,529.1206897
07-01-2012,2012,Jul,Maximum Price,759.852459
07-01-2012,2012,Jul,Minimum price,427.6885246
07-01-2012,2012,Jul,Modal price,634.6229508
08-01-2012,2012,Aug,Maximum Price,870.45
08-01-2012,2012,Aug,Minimum price,502.8333333
08-01-2012,2012,Aug,Modal price,727.6333333
09-01-2012,2012,Sep,Maximum Price,804.1129032
09-01-2012,2012,Sep,Minimum price,426.3548387
09-01-2012,2012,Sep,Modal price,646.8387097
10-01-2012,2012,Oct,Maximum Price,1103.220339
10-01-2012,2012,Oct,Minimum price,584.2033898
10-01-2012,2012,Oct,Modal price,902.0677966
11-01-2012,2012,Nov,Maximum Price,1447.183333
11-01-2012,2012,Nov,Minimum price,647.7666667
11-01-2012,2012,Nov,Modal price,1124.516667
12-01-2012,2012,Dec,Maximum Price,1535.52459
12-01-2012,2012,Dec,Minimum price,809.852459
12-01-2012,2012,Dec,Modal price,1246.377049
01-01-2013,2013,Jan,Maximum Price,1649.131148
01-01-2013,2013,Jan,Minimum price,959.3278689
01-01-2013,2013,Jan,Modal price,1375.836066
02-01-2013,2013,Feb,Maximum Price,1685.84127
02-01-2013,2013,Feb,Minimum price,1045.365079
02-01-2013,2013,Feb,Modal price,1436.793651
03-01-2013,2013,Mar,Maximum Price,1247.517241
03-01-2013,2013,Mar,Minimum price,775.3965517
03-01-2013,2013,Mar,Modal price,1058.034483
04-01-2013,2013,Apr,Maximum Price,1139.816667
04-01-2013,2013,Apr,Minimum price,714.85
04-01-2013,2013,Apr,Modal price,963.15
05-01-2013,2013,May,Maximum Price,1095.616667
05-01-2013,2013,May,Minimum price,633.3333333
05-01-2013,2013,May,Modal price,910.15
06-01-2013,2013,Jun,Maximum Price,1588.190476
06-01-2013,2013,Jun,Minimum price,929.7936508
06-01-2013,2013,Jun,Modal price,1335.730159
07-01-2013,2013,Jul,Maximum Price,2313.4375
07-01-2013,2013,Jul,Minimum price,1433.734375
07-01-2013,2013,Jul,Modal price,1978.625
08-01-2013,2013,Aug,Maximum Price,3893.344262
08-01-2013,2013,Aug,Minimum price,2348.508197
08-01-2013,2013,Aug,Modal price,3368.327869
09-01-2013,2013,Sep,Maximum Price,4687.444444
09-01-2013,2013,Sep,Minimum price,2806.15873
09-01-2013,2013,Sep,Modal price,3989.190476
10-01-2013,2013,Oct,Maximum Price,4727.698413
10-01-2013,2013,Oct,Minimum price,2330.206349
10-01-2013,2013,Oct,Modal price,3758.269841
11-01-2013,2013,Nov,Maximum Price,3841.42623
11-01-2013,2013,Nov,Minimum price,1891.672131
11-01-2013,2013,Nov,Modal price,3007.065574
12-01-2013,2013,Dec,Maximum Price,2081.142857
12-01-2013,2013,Dec,Minimum price,1081.126984
12-01-2013,2013,Dec,Modal price,1636.888889
01-01-2014,2014,Jan,Maximum Price,1318.57377
01-01-2014,2014,Jan,Minimum price,752.9344262
01-01-2014,2014,Jan,Modal price,1071.032787
02-01-2014,2014,Feb,Maximum Price,971.7213115
02-01-2014,2014,Feb,Minimum price,565.5901639
02-01-2014,2014,Feb,Modal price,800.5409836
03-01-2014,2014,Mar,Maximum Price,1051.2
03-01-2014,2014,Mar,Minimum price,595.2666667
03-01-2014,2014,Mar,Modal price,856.6333333
04-01-2014,2014,Apr,Maximum Price,1138.186441
04-01-2014,2014,Apr,Minimum price,550.6610169
04-01-2014,2014,Apr,Modal price,861.5762712
05-01-2014,2014,May,Maximum Price,1297.847458
05-01-2014,2014,May,Minimum price,636.7627119
05-01-2014,2014,May,Modal price,967.8135593
06-01-2014,2014,Jun,Maximum Price,1677.935484
06-01-2014,2014,Jun,Minimum price,797.016129
06-01-2014,2014,Jun,Modal price,1261.290323
07-01-2014,2014,Jul,Maximum Price,2362.79661
07-01-2014,2014,Jul,Minimum price,1243.152542
07-01-2014,2014,Jul,Modal price,1871.254237
08-01-2014,2014,Aug,Maximum Price,2055.37931
08-01-2014,2014,Aug,Minimum price,1038.103448
08-01-2014,2014,Aug,Modal price,1638.5
09-01-2014,2014,Sep,Maximum Price,1946.938462
09-01-2014,2014,Sep,Minimum price,979.8
09-01-2014,2014,Sep,Modal price,1518.753846
10-01-2014,2014,Oct,Maximum Price,1947.953125
10-01-2014,2014,Oct,Minimum price,961.90625
10-01-2014,2014,Oct,Modal price,1519.046875
11-01-2014,2014,Nov,Maximum Price,1867.9625
11-01-2014,2014,Nov,Minimum price,955.6625
11-01-2014,2014,Nov,Modal price,1481.3
12-01-2014,2014,Dec,Maximum Price,1912.317647
12-01-2014,2014,Dec,Minimum price,1009.776471
12-01-2014,2014,Dec,Modal price,1537.458824
01-01-2015,2015,Jan,Maximum Price,1637.097561
01-01-2015,2015,Jan,Minimum price,863.7560976
01-01-2015,2015,Jan,Modal price,1325.45122
02-01-2015,2015,Feb,Maximum Price,1775.044444
02-01-2015,2015,Feb,Minimum price,1025.6
02-01-2015,2015,Feb,Modal price,1482.588889
03-01-2015,2015,Mar,Maximum Price,1592.963855
03-01-2015,2015,Mar,Minimum price,949.1686747
03-01-2015,2015,Mar,Modal price,1325
04-01-2015,2015,Apr,Maximum Price,1437.833333
04-01-2015,2015,Apr,Minimum price,799.2738095
04-01-2015,2015,Apr,Modal price,1167.630952
05-01-2015,2015,May,Maximum Price,1618.045977
05-01-2015,2015,May,Minimum price,869.5172414
05-01-2015,2015,May,Modal price,1286.885057
06-01-2015,2015,Jun,Maximum Price,1969.482353
06-01-2015,2015,Jun,Minimum price,1033.411765
06-01-2015,2015,Jun,Modal price,1565.741176
07-01-2015,2015,Jul,Maximum Price,2395.447059
07-01-2015,2015,Jul,Minimum price,1304.611765
07-01-2015,2015,Jul,Modal price,1981.823529
08-01-2015,2015,Aug,Maximum Price,4332.670455
08-01-2015,2015,Aug,Minimum price,2423.386364
08-01-2015,2015,Aug,Modal price,3627.806818
09-01-2015,2015,Sep,Maximum Price,4579.865979
09-01-2015,2015,Sep,Minimum price,2678.14433
09-01-2015,2015,Sep,Modal price,3900.185567
10-01-2015,2015,Oct,Maximum Price,3460.488889
10-01-2015,2015,Oct,Minimum price,1806.911111
10-01-2015,2015,Oct,Modal price,2838.788889
11-01-2015,2015,Nov,Maximum Price,2687.932584
11-01-2015,2015,Nov,Minimum price,1333.146067
11-01-2015,2015,Nov,Modal price,2101.05618
12-01-2015,2015,Dec,Maximum Price,1830.666667
12-01-2015,2015,Dec,Minimum price,925.9032258
12-01-2015,2015,Dec,Modal price,1427.516129
01-01-2016,2016,Jan,Maximum Price,1489.759036
01-01-2016,2016,Jan,Minimum price,750.7831325
01-01-2016,2016,Jan,Modal price,1186.457831
02-01-2016,2016,Feb,Maximum Price,1149.862069
02-01-2016,2016,Feb,Minimum price,627.1954023
02-01-2016,2016,Feb,Modal price,923.4827586
03-01-2016,2016,Mar,Maximum Price,972.7241379
03-01-2016,2016,Mar,Minimum price,560.5402299
03-01-2016,2016,Mar,Modal price,802.2758621
